playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
berryto01,1871,1,PH1,NaN,1,4,0,1,0,0,0,0,0,0,0,0,,,,,
berthha01,1871,1,WS3,NaN,17,73,17,17,1,1,0,8,3,1,4,2,,,,,
biermch01,1871,1,FW1,NaN,1,2,0,0,0,0,0,0,0,0,1,0,,,,,
birdge01,1871,1,RC1,NaN,25,106,19,28,2,5,0,13,1,0,3,2,,,,,
birdsda01,1871,1,BS1,0,29,152,51,46,3,3,0,24,6,0,4,4,,,,,
brainas01,1871,1,WS3,0,30,134,24,30,4,0,0,21,4,0,7,2,,,,,
brannmi01,1871,1,CH1,0,3,14,2,1,0,0,0,0,0,0,0,0,,,,,
burrohe01,1871,1,WS3,0,12,63,11,15,2,3,1,14,0,0,1,1,,,,,
armstbo01,1871,1,FW1,0,12,49,9,11,2,1,0,5,0,1,0,1,,,,,
barkeal01,1871,1,RC1,NA,1,4,0,1,0,0,0,2,0,0,1,0,,,,,
